"StockID","TermYear","peel","full.data.mult","missing.data.mult","filled.data.mult"
"Stock1",2019,0,0.901837621466759,0.988138101754845,0.915386567912592
"Stock1",2018,1,1.10646683003518,1.29031490368944,1.08558319976414
"Stock1",2017,2,1.15657088171723,1.37305267577924,1.08008515707706
"Stock1",2016,3,1.40822674078688,1.71292974849981,1.51152971189258
"Stock1",2015,4,1.53894867632091,1.56458637486865,1.40612182238869
"Stock1",2014,5,1.18395185111758,1.37675748257339,1.14910276831672
"Stock1",2013,6,0.64567978559365,0.762934701800566,0.694503148558349
"Stock1",2012,7,0.527471845673205,0.520378134993063,0.453019095224637
"Stock1",2011,8,0.695487394731701,0.731839618444384,0.829957451115213
"Stock1",2010,9,1.17781940255234,1.22061713952316,0.977335998350286
"Stock2",2019,0,1.00012223558522,1.04430141681864,1.12600064181834
"Stock2",2018,1,1.06147992372244,0.917319522729772,0.810618579585618
"Stock2",2017,2,0.881522536628948,1.02523188822864,0.955905693328877
"Stock2",2016,3,0.949544760894279,0.989980222168102,1.07210601729745
"Stock2",2015,4,1.09013436394206,1.0440051904804,0.992998244754191
"Stock2",2014,5,0.932418146807473,0.932565521274641,0.951665952521891
"Stock2",2013,6,1.01740752107365,1.00863576023756,0.996832359037808
"Stock2",2012,7,1.14917522254087,1.21194092330764,1.16862802129937
"Stock2",2011,8,1.2564490427401,1.24713667391183,1.11395797054858
"Stock2",2010,9,1.39173929709281,1.71902894773405,1.37947101302605
"Stock3",2019,0,0.537924076680244,0.640179820078307,0.785953678960016
"Stock3",2018,1,1.02107259898249,0.969297050249343,1.34155327456089
"Stock3",2017,2,1.43389336178287,0.851347064388518,0.947352461110008
"Stock3",2016,3,1.0463414904663,1.05636626098268,1.0804778767719
"Stock3",2015,4,0.954017899939659,0.812344550837674,0.868769335660898
"Stock3",2014,5,0.939876546276837,0.984614747751053,0.910755682777524
"Stock3",2013,6,0.938526232447475,1.00699338702637,0.949923553755069
"Stock3",2012,7,1.07261846742322,1.08285618374671,0.986732489248842
"Stock3",2011,8,1.45476660776858,1.71350801260317,1.50980554136238
"Stock3",2010,9,1.54970078516448,1.65212817952386,1.41916877839695
"Stock4",2019,0,1.2183502327199,1.11959422309806,1.17236484772839
"Stock4",2018,1,1.33332511858458,1.31296241954533,1.29585309856185
"Stock4",2017,2,1.27225420637312,1.20930971925218,1.20961951099356
"Stock4",2016,3,1.11195916902099,1.02061706846606,1.02120862424214
"Stock4",2015,4,1.02014135687961,1.01306638928935,0.984509258157044
"Stock4",2014,5,1.0164809033379,1.02867250157467,1.06710483085225
"Stock4",2013,6,1.04724212465813,1.00057243951607,1.06932011493401
"Stock4",2012,7,0.973165217971576,0.886526636663519,0.893739514486865
"Stock4",2011,8,0.889079587247798,0.941945354830566,0.841303264295255
"Stock4",2010,9,0.83111713368773,0.903791838444005,0.975307653666858
"GBcod",2019,0,0.936162158695142,1.11273618508796,0.96880752009891
"GBcod",2018,1,1.04795174152671,1.07482926126321,1.11038079677306
"GBcod",2017,2,1.51727158871953,1.78151321848303,1.49088280085176
"GBcod",2016,3,1.05128464868326,1.0894423286668,0.941120510687022
"GBcod",2015,4,0.761694361900917,0.733240428879502,0.813341310205286
"GBcod",2014,5,0.981961689648037,1.03437404733595,0.931698081446492
"GBcod",2013,6,1.0669690201771,1.26145677030004,1.1408273225636
"GBcod",2012,7,0.999697471560171,1.03130120174705,0.98528148703998
"GBcod",2011,8,0.968594239737152,0.934421400842357,1.06166215969753
"GBcod",2010,9,1.14195914330853,1.11626091595099,1.07475604469489
"Stock5",2019,0,0.560831259400887,0.533356357895312,0.733124519863057
"Stock5",2018,1,0.920044827455605,0.830602245499691,0.971799588685572
"Stock5",2017,2,1.22532436131861,1.18642621922031,1.06614459412293
"Stock5",2016,3,1.31354066240112,1.49708307176938,1.45236321083844
"Stock5",2015,4,1.57419663524107,1.82944789243706,1.44003316116872
"Stock5",2014,5,0.720797043911714,0.72818932605396,0.713388720820867
"Stock5",2013,6,0.619889733840715,0.69837087505004,0.758287652737987
"Stock5",2012,7,0.575066004346511,0.518128685768195,0.56873411797071
"Stock5",2011,8,0.593731647099723,0.602612451154892,0.726011477553424
"Stock5",2010,9,0.941152503131035,0.951457455716469,0.956574363284604
"Stock6",2019,0,0.751799555437181,0.444569282712528,0.455805817739243
"Stock6",2018,1,1.24561417173868,1.62492997847296,1.25542356835477
"Stock6",2017,2,0.956674959532475,1.07168247203837,1.02137805823971
"Stock6",2016,3,1.20891166407501,1.27938903466414,1.43563137788456
"Stock6",2015,4,1.51414059588454,1.53420494841062,1.18169397592498
"Stock6",2014,5,0.738320820832243,0.846180285504418,0.84258530332397
"Stock6",2013,6,0.976488618553124,0.989629906926652,1.09121251313531
"Stock6",2012,7,1.16267670620016,1.0585420932179,1.17071762615102
"Stock6",2011,8,1.12685479700057,1.24004669748927,0.939566228465341
"Stock6",2010,9,0.463352309150502,0.606741070806284,0.718154205183685
"Stock7",2019,0,0.878235624532431,0.776607309001979,0.871995928445553
"Stock7",2018,1,1.01337710037008,0.996235289819588,1.0000987434003
"Stock7",2017,2,1.12801319746975,1.10799784296609,1.17584451802604
"Stock7",2016,3,1.34162334538272,1.25190444456899,1.29921607882792
"Stock7",2015,4,1.43884140590547,1.46536309412522,1.33679593667442
"Stock7",2014,5,1.12935770104354,1.11104585971437,1.07086193000223
"Stock7",2013,6,0.912472347052068,0.83951774293757,0.948542034299866
"Stock7",2012,7,0.941593169740982,0.847668882991247,0.891985700377974
